"ID","country","province","site","forestType","topo","plotsize","altitude","UTM.zone.WGS84","utmy","utmx","degslope","TPI_200m_circular","slope","aspect"
"BOM_LS2","Ecuador","Zamora-Chinchipe","Bombuscaro, Podocarpus NP","evergreen premontane forest","lower slope",0.04,1026,"17M",9544705,725544,30,-1.39454691085985,38.7208535525125,167.275748643362
"BOM_LS3","Ecuador","Zamora-Chinchipe","Bombuscaro, Podocarpus NP","evergreen premontane forest","lower slope",0.04,1046,"17M",9544734,725457,35,-1.19003384843515,38.0418848334654,131.977084749524
"BOM_LS4","Ecuador","Zamora-Chinchipe","Bombuscaro, Podocarpus NP","evergreen premontane forest","lower slope",0.04,1054,"17M",9544145,724804,20,-1.15466558735979,24.0678285705471,97.724489807829
"BOM_LS5","Ecuador","Zamora-Chinchipe","Bombuscaro, Podocarpus NP","evergreen premontane forest","lower slope",0.04,1056,"17M",9544137,724763,20,-1.18159310706771,31.2867925202913,141.458156263253
"BOM_LS6","Ecuador","Zamora-Chinchipe","Bombuscaro, Podocarpus NP","evergreen premontane forest","lower slope",0.04,1044,"17M",9544089,724773,25,-1.44839902717534,25.9028935316697,129.977609587124
"SFM_US1","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","upper slope",0.04,2002,"17M",9560455,713721,20,1.1506257202462,25.4684738439354,319.32471676875
"SFM_US2","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","upper slope",0.04,2026,"17M",9560391,713726,20,1.09964376051021,31.5561737760369,313.530062777626
"SFM_US3","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","upper slope",0.04,2089,"17M",9560143,713666,30,0.659740027499244,28.3923672775759,313.461168511586
"SFM_US4","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","upper slope",0.04,2063,"17M",9560321,714040,30,0.761426673280571,24.7788753981609,47.3704607410255
"SFM_US5","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","upper slope",0.04,2054,"17M",9560354,714028,25,1.13905785477566,29.3966972920202,30.7866242064112
"SFM_US6","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","upper slope",0.04,2039,"17M",9560383,714029,30,1.20627008072575,32.1111140517052,33.2165380798929
"SFM_MS1","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","mid slope",0.04,2034,"17M",9560242,713648,40,-0.0183559481876057,26.9783046886022,327.173824934817
"SFM_MS2","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","mid slope",0.04,1950,"17M",9560524,713975,45,-0.300753699130654,33.5980127013297,235.991495852032
"SFM_MS3","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","mid slope",0.04,2027,"17M",9560415,713955,50,0.141729122407738,35.598616902246,336.63761297582
"SFM_MS4","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","mid slope",0.04,1927,"17M",9560480,714146,30,-0.796605891508645,37.1994718042063,31.839179681213
"SFM_MS5","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","mid slope",0.04,1971,"17M",9560429,714115,45,-0.29218638831365,41.0155558896257,41.5186963978809
"SFM_MS6","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","mid slope",0.04,2020,"17M",9560342,714123,35,-0.366616439111289,37.5833618958101,23.9514921191278
"SFM_LS1","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","lower slope",0.04,2039,"17M",9560235,713688,35,-0.0103058206097702,28.6435466653722,326.237614734622
"SFM_LS2","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","lower slope",0.04,1993,"17M",9560307,713655,35,-0.538349468730141,30.3596123614496,310.01488893766
"SFM_LS3","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","lower slope",0.04,2020,"17M",9560270,713700,35,-0.332169511902799,28.1418254365285,316.330692450225
"SFM_LS4","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","lower slope",0.04,1913,"17M",9560505,714170,30,-1.1092903749556,29.5599277597095,8.45195161309287
"SFM_LS5","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","lower slope",0.04,1954,"17M",9560467,714261,30,-0.489617219069389,33.0595453862813,351.431897601285
"SFM_LS6","Ecuador","Zamora-Chinchipe","San Francisco Reserve","evergreen lower montane forest","lower slope",0.04,1933,"17M",9560423,714258,35,-0.347906813870844,25.8328862635465,345.513568365883
