ID,country,province,site,forestType,topo,plotsize,altitude,UTM.zone.WGS84,utmy,utmx,degslope
SFM_MS1,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,mid slope,0.04,2034,17M,9560242,713648,40
SFM_MS2,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,mid slope,0.04,1950,17M,9560524,713975,45
SFM_MS3,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,mid slope,0.04,2027,17M,9560415,713955,50
SFM_MS4,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,mid slope,0.04,1927,17M,9560480,714146,30
SFM_MS5,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,mid slope,0.04,1971,17M,9560429,714115,45
SFM_MS6,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,mid slope,0.04,2020,17M,9560342,714123,35
SFM_LS1,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,lower slope,0.04,2039,17M,9560235,713688,35
SFM_LS2,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,lower slope,0.04,1993,17M,9560307,713655,35
SFM_LS3,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,lower slope,0.04,2020,17M,9560270,713700,35
SFM_LS4,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,lower slope,0.04,1913,17M,9560505,714170,30
SFM_LS5,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,lower slope,0.04,1954,17M,9560467,714261,30
SFM_LS6,Ecuador,Zamora-Chinchipe,San Francisco Reserve,evergreen lower montane forest,lower slope,0.04,1933,17M,9560423,714258,35
